¿A cuál de estos filósofos se le atribuye el paso a la filosofía moderna?|René Descartes|John Locke|Arthur Schopenhauer|Immanuel Kant|
¿A qué filosofo pertenece la teoría del tiempo conocida como Eterno Retorno?|Friedrich Nietzsche|Immanuel Kant|Thomas Hobbes|Guillermo de Ockham|
¿A qué hacen referencia los sofistas cuando hablan de nomos?|Las leyes que rigen la vida social|Las leyes de la naturaleza|Las leyes del pensamiento|Las leyes del cosmos|
¿Qué filósofo fue el encargado de articular las tres leyes de la naturaleza en el Leviatán?|Thomas Hobbes|Friedrich Hegel|Friedrich Nietzsche|Gottfried Leibniz|
¿Qué escuela filosófica consideraba que los números eran el principio determinante y estructura de toda la realidad?|la Pitagótica|la Cirenaica|la Sofista|la de Mileto|
¿Qué filósofo emplea la metáfora de los dioses conjuntos para explicar las relaciones entre el mundo y la subjetividad?|José Ortega y Gasset|Jean Paul Sartre|Anaximandro de Mileto|Heráclito|
¿Cuál de estos filósofos no perteneció a la corriente racionalista?|David Hume|Immanuel Kant|Baruch Spinoza|René Descartes|
¿Qué nombre recibe la ética que afirma que el fin último de la actuación humana es la búsqueda de la felicidad?|Eudemonismo|Hedonismo|Emotivismo|Estoicismo|
¿Qué filósofo implantó el diálogo como método óptimo para la enseñanza de saberes?|Sócrates|Platón|Eurípides|Tales de Mileto|
¿Qué nombre recibe la teoría filosófica que explica alegóricamente la situación del hombre frente al conocimiento?|Mito de la caverna|Mito del carro alado|La rana y el escorpión|El mito de Sísifo|
¿De cuál de estas obras se le atribuye la autoría al filósofo Immanuel Kant?|Crítico de la razón pura|Así habló Zaratustra|El ser y la nada|Tratado del hombre|
¿En qué siglo aparece la filosofía?|VI a.C|II a.C|X a.C|II d.C|
¿Qué filósofo oriental ideó los principios del taoísmo?|Lao-Tsé|Mo-Tsé|Confucio|Sun Tzu|



